filepath,filename,emotion,actor,intensity,gender
D://Speech Project//raw\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,neutral,01,normal,male
D://Speech Project//raw\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,neutral,01,normal,male
D://Speech Project//raw\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,neutral,01,normal,male
D://Speech Project//raw\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,neutral,01,normal,male
D://Speech Project//raw\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,calm,01,normal,male
D://Speech Project//raw\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,calm,01,normal,male
D://Speech Project//raw\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,calm,01,normal,male
D://Speech Project//raw\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,calm,01,normal,male
D://Speech Project//raw\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,calm,01,strong,male
D://Speech Project//raw\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,calm,01,strong,male
D://Speech Project//raw\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,calm,01,strong,male
D://Speech Project//raw\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,calm,01,strong,male
D://Speech Project//raw\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,happy,01,normal,male
D://Speech Project//raw\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,happy,01,normal,male
D://Speech Project//raw\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,happy,01,normal,male
D://Speech Project//raw\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,happy,01,normal,male
D://Speech Project//raw\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,happy,01,strong,male
D://Speech Project//raw\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,happy,01,strong,male
D://Speech Project//raw\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,happy,01,strong,male
D://Speech Project//raw\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,happy,01,strong,male
D://Speech Project//raw\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,sad,01,normal,male
D://Speech Project//raw\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,sad,01,normal,male
D://Speech Project//raw\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,sad,01,normal,male
D://Speech Project//raw\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,sad,01,normal,male
D://Speech Project//raw\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,sad,01,strong,male
D://Speech Project//raw\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,sad,01,strong,male
D://Speech Project//raw\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,sad,01,strong,male
D://Speech Project//raw\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,sad,01,strong,male
D://Speech Project//raw\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,angry,01,normal,male
D://Speech Project//raw\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,angry,01,normal,male
D://Speech Project//raw\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,angry,01,normal,male
D://Speech Project//raw\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,angry,01,normal,male
D://Speech Project//raw\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,angry,01,strong,male
D://Speech Project//raw\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,angry,01,strong,male
D://Speech Project//raw\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,angry,01,strong,male
D://Speech Project//raw\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,angry,01,strong,male
D://Speech Project//raw\Actor_01\03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,fearful,01,normal,male
D://Speech Project//raw\Actor_01\03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav,fearful,01,normal,male
D://Speech Project//raw\Actor_01\03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav,fearful,01,normal,male
D://Speech Project//raw\Actor_01\03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,fearful,01,normal,male
D://Speech Project//raw\Actor_01\03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav,fearful,01,strong,male
